id_imovel,data,preco,quartos,banheiros,area_construida_m2,area_terreno_m2,andares,vista_agua,qualidade_vista,condicao_imovel,padrao_construcao,area_acima_solo_m2,area_porao_m2,ano_construcao,ano_reforma,cep,latitude,longitude,area_construida_vizinhos_m2,area_terreno_vizinhos_m2
7229300521,2014-10-13,231300.0,2,1.0,109.62569339145263,524.902684459074,1.0,0,0,3,7,109.62569339145263,0.0,1955,0,98178,47.5112,-122.257,124.49019419029365,524.902684459074
6414100192,2014-12-09,538000.0,3,2.25,238.7610440813841,672.8044674075422,2.0,0,0,3,7,201.59979208428152,37.16125199710258,1951,1991,98125,47.721,-122.319,157.00628968775843,709.6870100146666
5631500400,2015-02-25,180000.0,2,1.0,71.53541009442247,929.0312999275646,1.0,0,0,3,6,71.53541009442247,0.0,1933,0,98028,47.7379,-122.233,252.69651358029756,748.9850340016026
2487200875,2014-12-09,604000.0,4,3.0,182.09013478580266,464.5156499637823,1.0,0,0,5,7,97.54828649239428,84.54184829340838,1965,0,98136,47.5208,-122.393,126.34825679014878,464.5156499637823
1954400510,2015-02-18,510000.0,3,2.0,156.07725838783085,750.6572903414722,1.0,0,0,3,8,156.07725838783085,0.0,1987,0,98074,47.6168,-122.045,167.22563398696164,697.0521843356518
7237550310,2014-05-12,1225000.0,4,4.5,503.53496456074004,9469.616040161665,1.0,0,0,3,11,361.39317567182263,142.14178888891738,2001,0,98053,47.6561,-122.005,442.21889876552075,9469.616040161665
1321400060,2014-06-27,257500.0,3,2.25,159.32886793757731,633.5064434206063,2.0,0,0,3,7,159.32886793757731,0.0,1995,0,98003,47.3097,-122.327,207.91720492378894,633.5064434206063
2008000270,2015-01-15,291850.0,3,1.5,98.47731779232184,902.1822953596579,1.0,0,0,3,7,98.47731779232184,0.0,1963,0,98198,47.4095,-122.315,153.29016448804816,902.1822953596579
2414600126,2015-04-15,229500.0,3,1.0,165.3675713871065,693.9863810458908,1.0,0,0,3,7,97.54828649239428,67.81928489471221,1960,0,98146,47.5123,-122.337,165.3675713871065,753.7230936312332
3793500160,2015-03-12,323000.0,3,2.5,175.5869156863097,609.4445327524824,2.0,0,0,3,7,175.5869156863097,0.0,2003,0,98038,47.3684,-122.031,222.03848068268795,703.2766940451664
1736800520,2015-04-03,662500.0,3,2.5,330.735142774213,910.0790614090423,1.0,0,0,3,8,172.79982178652702,157.93532098768597,1965,0,98007,47.6007,-122.145,205.31591728399178,829.1604351853514
9212900260,2014-05-27,468000.0,2,1.0,107.7676307915975,557.4187799565387,1.0,0,0,4,7,79.89669179377056,27.870938997826936,1942,0,98115,47.69,-122.292,123.56116289036609,557.4187799565387
114101516,2014-05-28,310000.0,3,1.0,132.85147588964173,1848.8651899858462,1.5,0,0,4,7,132.85147588964173,0.0,1927,0,98028,47.7558,-122.229,165.3675713871065,1179.5910415180288
6054650070,2014-10-07,400000.0,3,1.75,127.27728809007635,899.3022983298825,1.0,0,0,4,7,127.27728809007635,0.0,1977,0,98074,47.6127,-122.045,127.27728809007635,948.355150966058
1175000570,2015-03-12,530000.0,5,2.0,168.15466528688918,450.5801804648688,1.5,0,0,3,7,168.15466528688918,0.0,1900,0,98107,47.67,-122.394,126.34825679014878,450.5801804648688
9297300055,2015-01-24,650000.0,4,3.0,274.06423347863154,464.5156499637823,2.0,0,3,3,9,183.94819738565778,90.11603609297377,1979,0,98126,47.5714,-122.375,198.81269818449883,371.61251997102585
1875500060,2014-07-31,395000.0,3,2.0,175.5869156863097,1304.3599450983006,2.0,0,0,3,7,175.5869156863097,0.0,1994,0,98019,47.7277,-121.962,175.5869156863097,1302.31607623846
6865200140,2014-05-29,485000.0,4,1.0,148.64500798841033,399.4834589688528,1.5,0,0,4,7,148.64500798841033,0.0,1916,0,98103,47.6648,-122.343,149.5740392883379,399.4834589688528
16000397,2014-12-05,189000.0,2,1.0,111.48375599130775,915.0958304286511,1.0,0,0,4,7,111.48375599130775,0.0,1921,0,98002,47.3089,-122.21,98.47731779232184,473.34144731309414
